BHK,Rent,Size,Super Area,Carpet Area,Built Area,Mumbai,Chennai,Bangalore,Hyderabad,Delhi,Kolkata,Semi-Furnished,Unfurnished,Furnished,Bachelors/Family,Bachelors,Family,Bathroom
2,9.210340371976184,6.551080335043404,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
2,9.305650551780507,6.309918278226516,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2
2,9.680344001221918,6.396929655216146,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
3,9.615805480084347,7.3777589082278725,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3
3,10.308952660644293,5.521460917862246,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2
3,10.736396675471232,7.438383530044307,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3
2,9.011889433252344,6.733401891837359,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2
2,10.308952660644293,6.620073206530356,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,2
3,10.714417768752456,5.298317366548036,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,3
2,12.043553716032399,6.907755278982137,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,3
1,8.779557455883728,6.331501849893691,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
2,11.289781913656018,6.507277712385012,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2
1,9.740968623038354,6.063785208687608,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
3,10.596634733096073,7.24422751560335,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,3
3,10.596634733096073,7.24422751560335,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,2
3,9.433483923290392,6.476972362889683,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
3,10.87804719253426,7.438383530044307,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3
2,9.546812608597396,7.2254814727822945,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2
2,9.546812608597396,6.551080335043404,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2
2,9.798127036878302,6.551080335043404,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,2
2,9.472704636443673,6.907755278982137,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2
2,9.392661928770137,6.684611727667927,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1,10.308952660644293,6.1903154058531475,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2
2,8.987196820661973,6.309918278226516,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,2
1,8.922658299524402,5.857933154483459,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
2,9.104979856318357,6.907755278982137,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2
3,9.711115659888671,7.313220387090301,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,3
2,10.915088464214607,6.551080335043404,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2
2,9.350102314351341,6.551080335043404,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2
2,9.740968623038354,6.946975992135418,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2
4,11.02679245379461,7.866338923046544,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,3
1,9.769956159911606,5.991464547107982,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,8.699514748210191,6.214608098422191,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2
2,9.546812608597396,4.605170185988092,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2
2,10.308952660644293,7.2078598714324755,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2
2,9.392661928770137,6.802394763324311,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2
2,9.104979856318357,7.090076835776092,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
3,10.915088464214607,6.745236349484363,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,3
2,9.472704636443673,7.05617528410041,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2
2,9.392661928770137,7.003065458786462,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2
1,8.779557455883728,5.075173815233827,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
2,9.305650551780507,7.003065458786462,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2
